make,model,tran_type,eng_size_l,cyls,trans,fuel,fuel_cons_city,fuel_cons_hwy,fuel_cons_comb_lp100k,fuel_cons_comb_mpg,co2_emit,veh_class
AUDI,A7 QUATTRO TDI (modified),AS8,3,6,A,D,9.8,6.2,8.1,35,217,3
AUDI,A8,AS8,3,6,A,Z,13.1,8.8,11.2,25,258,3
AUDI,A8,AS8,4,8,A,Z,13.7,8.3,11.3,25,265,3
AUDI,A8 TDI (modified),AS8,3,6,A,D,9.8,6.5,8.4,34,224,3
AUDI,A8L,AS8,3,6,A,Z,13.1,8.8,11.2,25,258,7
AUDI,A8L,AS8,4,8,A,Z,14.7,9.7,12.5,23,288,7
AUDI,A8L,AS8,6.3,12,A,Z,18.7,11.5,15.5,18,363,7
AUDI,A8L TDI (modified),AS8,3,6,A,D,9.8,6.5,8.4,34,224,7
AUDI,ALLROAD QUATTRO,AS8,2,4,A,Z,11.8,8.8,10.5,27,242,8
AUDI,Q5,AS8,2,4,A,Z,12,8.5,10.4,27,239,2
AUDI,Q5,AS8,3,6,A,Z,12.9,9.2,11.2,25,258,2
AUDI,Q5 TDI (modified),AS8,3,6,A,D,10.2,7.8,9,31,244,2
AUDI,Q5 HYBRID,AS8,2,4,A,Z,9.9,8.3,9.2,31,212,2
AUDI,Q7,AS8,3,6,A,Z,15.1,10.9,13.2,21,304,9
AUDI,Q7 TDI (modified),AS8,3,6,A,D,12.4,8.7,10.7,26,290,9
AUDI,R8,A7,4.2,8,A,Z,17.6,11,14.6,19,336,4
AUDI,R8,M6,4.2,8,M,Z,21.2,13.4,17.7,16,407,4
AUDI,R8,A7,5.2,10,A,Z,18.2,10.6,14.8,19,347,4
AUDI,R8,M6,5.2,10,M,Z,21.1,13.8,17.8,16,409,4
AUDI,R8 SPYDER,A7,4.2,8,A,Z,17.6,11,14.6,19,336,4
AUDI,R8 SPYDER,M6,4.2,8,M,Z,21.2,13.4,17.7,16,407,4
AUDI,R8 SPYDER,A7,5.2,10,A,Z,18.2,10.6,14.8,19,347,4
AUDI,R8 SPYDER,M6,5.2,10,M,Z,21.1,13.8,17.8,16,409,4
AUDI,RS 5,A7,4.2,8,A,Z,15.3,10.9,13.3,21,306,6
AUDI,RS 5 CABRIOLET,A7,4.2,8,A,Z,15.2,11.3,13.4,21,308,6
AUDI,RS 7,AS8,4,8,A,Z,15.5,8.8,12.5,23,293,3
AUDI,S4,A7,3,6,A,Z,13.2,9.2,11.4,25,262,1
AUDI,S4,M6,3,6,M,Z,14.6,9.8,12.4,23,285,1
AUDI,S5,A7,3,6,A,Z,13.2,9.2,11.4,25,262,6
AUDI,S5,M6,3,6,M,Z,14.6,9.8,12.4,23,285,6
AUDI,S5 CABRIOLET,A7,3,6,A,Z,13.3,9.5,11.6,24,267,6
AUDI,S6,A7,4,8,A,Z,14.2,9.7,12.2,23,281,3
AUDI,S7,A7,4,8,A,Z,14.2,9.7,12.2,23,281,3
AUDI,S8,AS8,4,8,A,Z,15.8,9.2,12.8,22,300,3
AUDI,SQ5,AS8,3,6,A,Z,14.9,10.1,12.7,22,292,2
AUDI,TT COUPE QUATTRO,A6,2,4,A,Z,10.4,7.6,9.1,31,209,6
AUDI,TT ROADSTER QUATTRO,A6,2,4,A,Z,10.4,7.6,9.1,31,209,4
AUDI,TTS COUPE QUATTRO,A6,2,4,A,Z,11.5,8.8,10.3,27,237,6
AUDI,TTS ROADSTER QUATTRO,A6,2,4,A,Z,11.5,8.8,10.3,27,237,4
BENTLEY,CONTINENTAL GT,AS8,4,8,A,Z,16.3,9.8,13.4,21,314,6
BENTLEY,CONTINENTAL GT,AS8,6,12,A,Z,18.8,11.5,15.5,18,356,6
BENTLEY,CONTINENTAL GTC,AS8,4,8,A,Z,17.4,10.2,14.2,20,332,6
BENTLEY,CONTINENTAL GTC,AS8,6,12,A,Z,20,12.2,16.5,17,380,6
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,AS8,6,12,A,Z,20,12.2,16.5,17,380,6
BENTLEY,FLYING SPUR,AS8,6,12,A,Z,20.3,11.9,16.5,17,388,3
BENTLEY,MULSANNE,AS8,6.8,8,A,Z,22.3,14.9,19,15,437,3
BMW,320i,A8,2,4,A,Z,10,6.5,8.4,34,193,1
BMW,320i,M6,2,4,M,Z,10.4,6.7,8.7,32,200,1
BMW,320i xDRIVE,A8,2,4,A,Z,10.2,7,8.8,32,202,1
BMW,328d xDRIVE,A8,2,4,A,D,7.6,5.5,6.7,42,181,1
BMW,328d xDRIVE TOURING,A8,2,4,A,D,7.6,5.5,6.7,42,181,8
BMW,328i,A8,2,4,A,Z,10,6.5,8.4,34,193,1
BMW,328i,M6,2,4,M,Z,10.4,6.7,8.7,32,200,1
BMW,328i xDRIVE,A8,2,4,A,Z,10.6,7.2,9.1,31,209,1
BMW,328i xDRIVE GRAN TURISMO,A8,2,4,A,Z,10.6,7.2,9.1,31,209,7
BMW,328i xDRIVE TOURING,A8,2,4,A,Z,10.6,7.2,9.1,31,209,8
BMW,335i,A8,3,6,A,Z,11.4,7.3,9.6,29,221,1
BMW,335i,M6,3,6,M,Z,11.8,7.9,10,28,230,1
BMW,335i xDRIVE,A8,3,6,A,Z,11.7,7.8,9.9,29,228,1
BMW,335i xDRIVE,M6,3,6,M,Z,11.9,8.3,10.3,27,237,1
BMW,335i xDRIVE GRAN TURISMO,A8,3,6,A,Z,11.9,8,10.1,28,232,7
BMW,428i COUPE,A8,2,4,A,Z,10,6.5,8.4,34,193,1
BMW,428i COUPE,M6,2,4,M,Z,10.4,6.7,8.7,32,200,1
BMW,428i xDRIVE COUPE,A8,2,4,A,Z,10.6,7.2,9.1,31,209,1
BMW,435i COUPE,A8,3,6,A,Z,11.4,7.3,9.6,29,221,1
BMW,435i COUPE,M6,3,6,M,Z,11.8,7.9,10,28,230,1
BMW,435i xDRIVE COUPE,A8,3,6,A,Z,11.7,7.8,9.9,29,228,1
BMW,435i xDRIVE COUPE,M6,3,6,M,Z,11.9,8.3,10.3,27,237,1
BMW,528i,A8,2,4,A,Z,10.2,7,8.8,32,202,3
BMW,528i xDRIVE,A8,2,4,A,Z,10.6,7.2,9.1,31,209,3
BMW,535d xDRIVE,A8,3,6,A,D,9.2,6.4,7.9,36,213,3
BMW,535i xDRIVE,A8,3,6,A,Z,11.9,8,10.1,28,232,3
BMW,535i xDRIVE GRAN TURISMO,A8,3,6,A,Z,12.5,8.6,10.7,26,246,7
BMW,550i xDRIVE,A8,4.4,8,A,Z,14.4,9.6,12.2,23,281,3
BMW,550i xDRIVE GRAN TURISMO,A8,4.4,8,A,Z,15,9.8,12.7,22,292,7
BMW,640i xDRIVE GRAN COUPE,A8,3,6,A,Z,11.9,8,10.1,28,232,1
BMW,650i xDRIVE CABRIOLET,A8,4.4,8,A,Z,15,9.8,12.7,22,292,6
BMW,650i xDRIVE COUPE,A8,4.4,8,A,Z,14.4,9.6,12.2,23,281,1
BMW,650i xDRIVE GRAN COUPE,A8,4.4,8,A,Z,15,9.8,12.7,22,292,1
BMW,740Li xDRIVE,A8,3,6,A,Z,12.5,8.6,10.7,26,246,7
BMW,750i xDRIVE,A8,4.4,8,A,Z,15,9.8,12.7,22,292,7
BMW,750Li xDRIVE,A8,4.4,8,A,Z,15,9.8,12.7,22,292,7
BMW,760Li,A8,6,12,A,Z,18.7,11.5,15.5,18,356,7
BMW,ACTIVEHYBRID 3,A8,3,6,A,Z,9.2,7.1,8.3,34,191,1
BMW,ACTIVEHYBRID 5,A8,3,6,A,Z,10.5,7.9,9.3,30,214,3
BMW,ACTIVEHYBRID 7L,A8,3,6,A,Z,10.5,7.6,9.2,31,212,7
BMW,ALPINA B7 xDRIVE LWB,A8,4.4,8,A,Z,15,9.8,12.7,22,292,7
BMW,ALPINA B7 xDRIVE SWB,A8,4.4,8,A,Z,15,9.8,12.7,22,292,7
BMW,M5,AM7,4.4,8,A,Z,17.3,11.5,14.7,19,338,3
BMW,M5,M6,4.4,8,M,Z,16.2,10.9,13.8,20,317,3
BMW,M6,AM7,4.4,8,A,Z,17.3,11.5,14.7,19,338,1
BMW,M6,M6,4.4,8,M,Z,16.2,10.9,13.8,20,317,1
BMW,M6 CABRIOLET,AM7,4.4,8,A,Z,17.3,11.5,14.7,19,338,6
BMW,M6 CABRIOLET,M6,4.4,8,M,Z,16.2,10.9,13.8,20,317,6
BMW,M6 GRAN COUPE,AM7,4.4,8,A,Z,17.3,11.5,14.7,19,338,1
BMW,M6 GRAN COUPE,M6,4.4,8,M,Z,16.2,10.9,13.8,20,317,1
BMW,X1 xDRIVE28i,A8,2,4,A,Z,10.6,7.2,9.1,31,209,2
BMW,X1 xDRIVE35i,A6,3,6,A,Z,13.2,8.9,11.3,25,260,2
BMW,X3 xDRIVE28i,A8,2,4,A,Z,11.2,8.5,10,28,230,2
BMW,X3 xDRIVE35i,A8,3,6,A,Z,12.6,9.1,11,26,253,2
BMW,X5 xDRIVE35i,A8,3,6,A,Z,12.9,8.8,11.1,25,255,9
BMW,X5 xDRIVE50i,A8,4.4,8,A,Z,16.3,10.9,13.9,20,320,9
BMW,X6 M,A6,4.4,8,A,Z,18.1,13.7,16.1,18,370,9
BMW,X6 xDRIVE35i,A8,3,6,A,Z,13.6,9.8,11.9,24,274,9
BMW,X6 xDRIVE50i,A8,4.4,8,A,Z,16.4,11.3,14.1,20,324,9
BMW,Z4 sDRIVE28i,A8,2,4,A,Z,10.8,7.1,9.1,31,209,4
BMW,Z4 sDRIVE28i,M6,2,4,M,Z,10.4,6.7,8.7,32,200,4
BMW,Z4 sDRIVE35i,AM7,3,6,A,Z,13.7,10.1,12.1,23,278,4
BMW,Z4 sDRIVE35i,M6,3,6,M,Z,12.7,9,11,26,253,4
BMW,Z4 sDRIVE35is,AM7,3,6,A,Z,13.7,10.1,12.1,23,278,4
BUICK,ENCLAVE,A6,3.6,6,A,X,14.3,9.9,12.3,23,283,9
BUICK,ENCLAVE AWD,A6,3.6,6,A,X,14.6,10.2,12.6,22,290,9
BUICK,ENCORE,AS6,1.4,4,A,X,9.5,7.2,8.5,33,196,2
BUICK,ENCORE AWD,AS6,1.4,4,A,X,10.2,8,9.2,31,212,2
BUICK,LACROSSE,AS6,3.6,6,A,X,13.7,8.7,11.5,25,264,3
BUICK,LACROSSE,AS6,3.6,6,A,E,18.4,12.2,15.6,18,250,3
BUICK,LACROSSE AWD,AS6,3.6,6,A,X,13.7,8.9,11.5,25,264,3
BUICK,LACROSSE AWD,AS6,3.6,6,A,E,19.4,13,16.5,17,264,3
BUICK,LACROSSE eASSIST,AS6,2.4,4,A,X,9.6,6.5,8.2,34,189,3
BUICK,REGAL,AS6,2,4,A,Z,11.5,7.9,9.9,29,228,3
BUICK,REGAL,M6,2,4,M,Z,11.6,7.5,9.8,29,225,3
BUICK,REGAL AWD,AS6,2,4,A,Z,12.3,8.7,10.7,26,246,3
BUICK,REGAL eASSIST,AS6,2.4,4,A,X,9.6,6.5,8.2,34,189,3
BUICK,VERANO,AS6,2,4,A,Z,11.5,7.9,9.9,29,228,1
BUICK,VERANO,M6,2,4,M,Z,11.6,7.5,9.8,29,225,1
BUICK,VERANO,AS6,2.4,4,A,X,11.3,7.4,9.5,30,218,1
CADILLAC,ATS,AS6,2,4,A,Z,11.3,7.5,9.6,29,221,1
CADILLAC,ATS,M6,2,4,M,Z,12.1,7.9,10.2,28,235,1
CADILLAC,ATS,AS6,2.5,4,A,X,10.5,7.2,9,31,207,1
CADILLAC,ATS,AS6,3.6,6,A,X,12.8,8.5,10.9,26,251,1
CADILLAC,ATS AWD,AS6,2,4,A,Z,11.8,8.1,10.1,28,232,1
CADILLAC,ATS AWD,AS6,3.6,6,A,X,13.1,9,11.3,25,260,1
CADILLAC,CTS COUPE,AS6,3.6,6,A,X,13.2,8.7,11.2,25,258,3
CADILLAC,CTS COUPE AWD,AS6,3.6,6,A,X,13.3,9,11.4,25,262,3
CADILLAC,CTS SEDAN,AS6,2,4,A,Z,11.9,7.9,10.1,28,232,3
CADILLAC,CTS SEDAN,AS8,3.6,6,A,X,12.9,8.2,10.8,26,248,3
CADILLAC,CTS SEDAN AWD,AS6,2,4,A,Z,12.6,8.5,10.8,26,248,3
CADILLAC,CTS SEDAN AWD,AS6,3.6,6,A,X,13.1,9,11.3,25,260,3
CADILLAC,CTS SEDAN Vsport,AS8,3.6,6,A,Z,15.1,9.9,12.8,22,294,3
CADILLAC,CTS SPORT WAGON,AS6,3,6,A,X,12.7,8.9,11,26,253,8
CADILLAC,CTS SPORT WAGON,AS6,3.6,6,A,X,13.3,8.9,11.3,25,260,8
CADILLAC,CTS SPORT WAGON AWD,AS6,3,6,A,X,12.8,9.1,11.1,25,255,8
CADILLAC,CTS SPORT WAGON AWD,AS6,3.6,6,A,X,13.3,9,11.4,25,262,8
CADILLAC,CTS-V COUPE,AS6,6.2,8,A,Z,19.7,12.9,16.6,17,382,3
CADILLAC,CTS-V COUPE,M6,6.2,8,M,Z,16.7,12.5,14.8,19,340,3
CADILLAC,CTS-V SEDAN,AS6,6.2,8,A,Z,19.7,12.9,16.6,17,382,3
CADILLAC,CTS-V SEDAN,M6,6.2,8,M,Z,16.7,12.5,14.8,19,340,3
CADILLAC,CTS-V SPORT WAGON,AS6,6.2,8,A,Z,19.7,12.9,16.6,17,382,8
CADILLAC,CTS-V SPORT WAGON,M6,6.2,8,M,Z,16.7,12.5,14.8,19,340,8
CADILLAC,ESCALADE AWD,A6,6.2,8,A,Z,17,11.8,14.7,19,338,9
CADILLAC,ESCALADE AWD,A6,6.2,8,A,E,23.3,16.1,20.1,14,322,9
CADILLAC,ESCALADE ESV AWD,A6,6.2,8,A,Z,18.8,13.4,16.4,17,377,9
CADILLAC,ESCALADE ESV AWD,A6,6.2,8,A,E,25.7,17.8,22.1,13,354,9
CADILLAC,SRX,AS6,3.6,6,A,X,14.3,9.8,12.3,23,283,9
CADILLAC,SRX AWD,AS6,3.6,6,A,X,14.8,10.4,12.8,22,294,9
CADILLAC,XTS,AS6,3.6,6,A,X,13.6,8.6,11.4,25,262,7
CADILLAC,XTS AWD,AS6,3.6,6,A,X,14,9.1,11.8,24,271,7
CADILLAC,XTS Vsport AWD,AS6,3.6,6,A,Z,14.8,9.8,12.6,22,290,7
CHEVROLET,CAMARO,AS6,3.6,6,A,X,13.2,8.7,11.2,25,258,1
CHEVROLET,CAMARO,M6,3.6,6,M,X,14.2,8.6,11.7,24,269,1
CHEVROLET,CAMARO 2LS,AS6,3.6,6,A,X,12.7,7.9,10.5,27,242,1
CHEVROLET,CAMARO SS,AS6,6.2,8,A,Z,15.3,9.8,12.8,22,294,1
CHEVROLET,CAMARO SS,M6,6.2,8,M,Z,15,9.9,12.7,22,292,1
CHEVROLET,CAMARO ZL1,AS6,6.2,8,A,Z,19.7,12.9,16.6,17,382,1
CHEVROLET,CAMARO ZL1,M6,6.2,8,M,Z,16.7,12.5,14.8,19,340,1
CHEVROLET,CORVETTE,AS6,6.2,8,A,Z,14.9,8.5,12,24,276,4
CHEVROLET,CORVETTE,M7,6.2,8,M,Z,13.7,8.2,11.2,25,258,4
CHEVROLET,CRUZE,AS6,1.4,4,A,X,9.1,6.3,7.8,36,179,3
CHEVROLET,CRUZE,M6,1.4,4,M,X,9.1,6.3,7.8,36,179,3
CHEVROLET,CRUZE,AS6,1.8,4,A,X,10.5,6.7,8.8,32,202,3
CHEVROLET,CRUZE,M6,1.8,4,M,X,9.5,6.5,8.2,34,189,3
CHEVROLET,CRUZE DIESEL,AS6,2,4,A,D,8.7,5.1,7.1,40,192,3
CHEVROLET,CRUZE ECO,A6,1.4,4,A,X,9.1,6,7.7,37,177,3
CHEVROLET,CRUZE ECO,M6,1.4,4,M,X,8.4,5.6,7.1,40,163,3
CHEVROLET,EQUINOX,A6,2.4,4,A,X,10.5,7.3,9.1,31,209,2
CHEVROLET,EQUINOX,A6,3.6,6,A,X,13.9,9.6,12,24,276,2
CHEVROLET,EQUINOX,A6,3.6,6,A,E,18.8,13.1,16.2,17,259,2
CHEVROLET,EQUINOX AWD,A6,2.4,4,A,X,11.5,8.2,10,28,230,2
CHEVROLET,EQUINOX AWD,A6,3.6,6,A,X,14.8,9.9,12.6,22,290,2
CHEVROLET,EQUINOX AWD,A6,3.6,6,A,E,19.8,13.6,17,17,272,2
CHEVROLET,EXPRESS 1500 CARGO,A4,4.3,6,A,X,17.1,12.7,15.1,19,347,10
CHEVROLET,EXPRESS 1500 CARGO,A4,5.3,8,A,X,18,13.4,15.9,18,366,10
CHEVROLET,EXPRESS 1500 CARGO,A4,5.3,8,A,E,23.5,17.7,20.9,14,334,10
CHEVROLET,EXPRESS 1500 CARGO AWD,A4,5.3,8,A,X,18.3,14.2,16.5,17,380,10
CHEVROLET,EXPRESS 1500 CARGO AWD,A4,5.3,8,A,E,23.7,18.8,21.5,13,344,10
CHEVROLET,EXPRESS 1500 CARGO CONV,A4,5.3,8,A,X,18.6,13.9,16.5,17,380,10
CHEVROLET,EXPRESS 1500 CARGO CONV,A4,5.3,8,A,E,23.9,18.5,21.5,13,344,10
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,A4,5.3,8,A,X,18.3,14.2,16.5,17,380,10
CHEVROLET,EXPRESS 1500 CARGO CONV AWD,A4,5.3,8,A,E,25.3,19.3,22.6,12,362,10
CHEVROLET,EXPRESS 1500 PASSENGER,A4,5.3,8,A,X,18.6,13.9,16.5,17,380,10
CHEVROLET,EXPRESS 1500 PASSENGER,A4,5.3,8,A,E,23.9,18.5,21.5,13,344,10
CHEVROLET,EXPRESS 1500 PASSENGER AWD,A4,5.3,8,A,X,18.3,14.2,16.5,17,380,10
CHEVROLET,EXPRESS 1500 PASSENGER AWD,A4,5.3,8,A,E,25.3,19.3,22.6,12,362,10
CHEVROLET,EXPRESS 2500 PASSENGER,A6,4.8,8,A,X,21.1,14.2,18,16,414,10
CHEVROLET,EXPRESS 2500 PASSENGER,A6,6,8,A,X,21.9,15,18.8,15,432,10
CHEVROLET,EXPRESS 2500 PASSENGER,A6,6,8,A,E,30,20.4,25.7,11,411,10
CHEVROLET,EXPRESS 3500 PASSENGER,A6,4.8,8,A,X,21.3,14.3,18.2,16,419,10
CHEVROLET,EXPRESS 3500 PASSENGER,A6,6,8,A,X,22.1,15,18.9,15,435,10
CHEVROLET,EXPRESS 3500 PASSENGER,A6,6,8,A,E,30.2,20.5,25.8,11,413,10
CHEVROLET,IMPALA,AS6,2.5,4,A,X,11.3,7.5,9.6,29,221,7
CHEVROLET,IMPALA,AS6,3.6,6,A,X,12.6,8.2,10.6,27,244,7
CHEVROLET,IMPALA,AS6,3.6,6,A,E,16.7,11.3,14.3,20,229,7
CHEVROLET,IMPALA ECO,AS6,2.4,4,A,X,10,7,8.7,32,200,7
CHEVROLET,MALIBU,AS6,2,4,A,Z,11.5,7.9,9.9,29,228,3
CHEVROLET,MALIBU,AS6,2.5,4,A,X,9.3,6.4,8,35,184,3
CHEVROLET,ORLANDO,AS6,2.4,4,A,X,12.2,8.6,10.6,27,244,2
CHEVROLET,ORLANDO,M6,2.4,4,M,X,11.8,8.3,10.2,28,235,2
CHEVROLET,SILVERADO,A6,4.3,6,A,X,13.4,9.9,11.8,24,271,12
CHEVROLET,SILVERADO,A6,4.3,6,A,E,18.9,14.2,16.8,17,269,12
CHEVROLET,SILVERADO,A6,5.3,8,A,X,14.6,10.3,12.7,22,292,12
CHEVROLET,SILVERADO,A6,5.3,8,A,E,19.5,13.7,16.9,17,270,12
CHEVROLET,SILVERADO,A6,6.2,8,A,Z,16.3,11.4,14.1,20,324,12
CHEVROLET,SILVERADO 4WD,A6,4.3,6,A,X,14.2,10.6,12.6,22,290,12
CHEVROLET,SILVERADO 4WD,A6,4.3,6,A,E,20,15.1,17.8,16,285,12
CHEVROLET,SILVERADO 4WD,A6,5.3,8,A,X,14.9,10.6,13,22,299,12
CHEVROLET,SILVERADO 4WD,A6,5.3,8,A,E,19.9,14.2,17.3,16,277,12
CHEVROLET,SILVERADO 4WD,A6,6.2,8,A,Z,16.4,11.7,14.3,20,329,12
CHEVROLET,SONIC,AS6,1.4,4,A,X,9.1,6.7,8,35,184,1
CHEVROLET,SONIC,M6,1.4,4,M,X,8.5,6.2,7.5,38,173,1
CHEVROLET,SONIC,AS6,1.8,4,A,X,9.6,6.6,8.3,34,191,1
CHEVROLET,SONIC,M5,1.8,4,M,X,8.9,6.7,7.9,36,182,1
CHEVROLET,SONIC RS,AS6,1.4,4,A,X,9.4,7,8.3,34,191,1
CHEVROLET,SONIC RS,M6,1.4,4,M,X,8.8,7,8,35,184,1
CHEVROLET,SONIC 5,AS6,1.4,4,A,X,9.1,6.7,8,35,184,3
CHEVROLET,SONIC 5,M6,1.4,4,M,X,8.5,6.2,7.5,38,172,3
CHEVROLET,SONIC 5,AS6,1.8,4,A,X,9.6,6.6,8.3,34,191,3
CHEVROLET,SONIC 5,M5,1.8,4,M,X,8.9,6.7,7.9,36,182,3
CHEVROLET,SONIC 5 RS,AS6,1.4,4,A,X,9.4,7,8.3,34,191,3
CHEVROLET,SONIC 5 RS,M6,1.4,4,M,X,8.8,7,8,35,184,3
CHEVROLET,SPARK,AV,1.2,4,A,X,7.7,6,6.9,41,159,6
CHEVROLET,SPARK,M5,1.2,4,M,X,7.6,6,6.9,41,159,6
CHEVROLET,SUBURBAN,A6,5.3,8,A,X,16,11.1,13.8,20,317,9
CHEVROLET,SUBURBAN,A6,5.3,8,A,E,21.5,14.6,18.4,15,294,9
CHEVROLET,SUBURBAN 4WD,A6,5.3,8,A,X,16,11.1,13.8,20,317,9
CHEVROLET,SUBURBAN 4WD,A6,5.3,8,A,E,21.5,14.6,18.4,15,294,9
CHEVROLET,TAHOE,A6,5.3,8,A,X,16,11.1,13.8,20,317,9
CHEVROLET,TAHOE,A6,5.3,8,A,E,21.5,14.6,18.4,15,294,9
CHEVROLET,TAHOE 4WD,A6,5.3,8,A,X,16,11.1,13.8,20,317,9
CHEVROLET,TAHOE 4WD,A6,5.3,8,A,E,21.5,14.6,18.4,15,294,9
CHEVROLET,TRAVERSE,A6,3.6,6,A,X,14.3,9.9,12.3,23,283,9
CHEVROLET,TRAVERSE AWD,A6,3.6,6,A,X,14.6,10.2,12.6,22,290,9
CHEVROLET,TRAX,AS6,1.4,4,A,X,9.4,7.1,8.4,34,193,2
CHEVROLET,TRAX,M6,1.4,4,M,X,9.1,6.8,8.1,35,186,2
CHEVROLET,TRAX AWD,AS6,1.4,4,A,X,10,7.8,9,31,207,2
CHRYSLER,300,A8,3.6,6,A,X,12.4,7.7,10.3,27,237,7
CHRYSLER,200 CONVERTIBLE,A4,2.4,4,A,X,11.7,8.2,10.1,28,232,1
CHRYSLER,200 CONVERTIBLE,A6,2.4,4,A,X,12.9,8.1,10.7,26,246,1
CHRYSLER,200 CONVERTIBLE FFV,A6,3.6,6,A,X,12.5,8.1,10.5,27,242,1
CHRYSLER,200 CONVERTIBLE FFV,A6,3.6,6,A,E,17,11.2,14.4,20,230,1
CHRYSLER,200 SEDAN,A4,2.4,4,A,X,11.2,8,9.8,29,225,3
CHRYSLER,200 SEDAN,A6,2.4,4,A,X,12,7.6,10,28,230,3
CHRYSLER,200 SEDAN FFV,A6,3.6,6,A,X,12.5,8.1,10.5,27,242,3
CHRYSLER,200 SEDAN FFV,A6,3.6,6,A,E,17,11.2,14.4,20,230,3
CHRYSLER,300 (MDS),A5,5.7,8,A,X,15.8,9.2,12.8,22,294,7
CHRYSLER,300 AWD,A8,3.6,6,A,X,12.8,8.6,10.9,26,251,7
CHRYSLER,300 AWD (MDS),A5,5.7,8,A,X,16.1,10,13.4,21,308,7
CHRYSLER,300 AWD FFV,A8,3.6,6,A,X,12.8,8.6,10.9,26,251,7
CHRYSLER,300 AWD FFV,A8,3.6,6,A,E,17.3,11.7,14.8,19,237,7
CHRYSLER,300 FFV,A8,3.6,6,A,X,12.4,7.7,10.3,27,237,7
CHRYSLER,300 FFV,A8,3.6,6,A,E,16.8,10.3,13.9,20,222,7
CHRYSLER,300 SRT (MDS),A5,6.4,8,A,Z,16.7,10.3,13.8,20,317,7
CHRYSLER,TOWN & COUNTRY FFV,A6,3.6,6,A,X,14.1,9.5,12,24,276,13
CHRYSLER,TOWN & COUNTRY FFV,A6,3.6,6,A,E,19.7,13.3,16.8,17,269,13
DODGE,AVENGER,A4,2.4,4,A,X,11.2,8,9.8,29,225,3
DODGE,AVENGER,A6,2.4,4,A,X,12,7.6,10,28,230,3
DODGE,AVENGER FFV,A6,3.6,6,A,X,12.5,8.1,10.5,27,242,3
DODGE,AVENGER FFV,A6,3.6,6,A,E,17,11.2,14.4,20,230,3
DODGE,CHALLENGER,A5,3.6,6,A,X,13.2,8.7,11.2,25,258,3
DODGE,CHALLENGER,M6,5.7,8,M,X,15.6,10,13.1,22,301,3
